este,norte,kwtmc
4802463.72,2282258.89,5.2085
4717741.77,2258230.79,4.7733
4739467.17,2234074.27,5.2887
4715838.47,2207724.16,5.459
4716894.43,2308225.83,4.8844
4687445.73,2280596.61,5.0684
4727170.41,2363874.76,4.7154
4801414.07,2306685.89,5.2382
4800862.4,2778600.62,6.2666
4805954.04,2761556.11,4.9248
4767345.82,2632639.96,5.8103
5012814.34,2167742.78,4.0985
4959168.21,2128921.62,2.717
4950757.23,2121085.61,3.7459
4987766.91,2192766.31,4.552
4881903.68,2183426.08,4.795
4971553.34,2094700.74,2.8492
5034007.61,2220687.08,4.2069
5007580.44,2189590.78,4.5881
4981346.23,2141667.09,2.9606
4721899.61,2119787.75,4.0741
4724372.13,2114995,4.2092
4691086.97,1755251.83,3.0922
4703814.96,1724119.39,3.1377
4802947.92,1791660.98,3.8073
5183777.39,2180714.73,4.2053
5068057.52,2146850.96,4.186
4613764.62,1873095.15,5.4009
4455111.26,1843057.5,3.2864
4659263.79,1840173.86,4.1688
4581473.26,1799347.62,5.0842
4972940.7,2714217.35,5.5178
4521340.69,2514813.16,4.5783
4799601.13,2033158.34,4.6318
4900170.64,2092639.27,3.7863
4866509.25,2077136.56,3.8427
4901057.77,2123374.48,4.1107
4855789.54,2034179.87,3.9268
4836160.2,2123697.76,4.7713
4886580.53,2147401.44,3.6187
4842747.96,1985401.13,3.9989
5000152.29,2192497.06,3.9989
4837100.15,2112906.67,4.4518
4768932.78,1904127.55,5.0708
4654052.64,1743959.52,3.3464
4685348.02,1815820.38,3.7586
4656304.96,1762771,3.761
4654100.86,1781599.71,3.7001
5074103.78,2838862.27,6.0382
4876528.63,2757228.9,5.0495
4870141.76,2798140.53,5.3709
4935663.15,2029880.62,2.6414
4930100.31,2015522.51,4.2567
4501236.44,1661137.48,4.0798
4523578.76,1686602.48,3.8974
4511271.43,1651153.97,1.9222
4516984.78,1737576.35,4.8427
4483417.86,1676689.24,4.6377
5056187.44,2431004.15,5.4768
5056236.62,2386801.37,4.0804
5038606.97,2373524.53,3.8896
4701613.27,2059146.23,4.2658
4711599.93,2059097.96,3.0233
4678617.46,2134467.45,4.6058
4696245.74,2103408.6,4.3819
4713896.81,2081213.25,4.0255
4921605.89,2329357.76,4.7409
5003308.66,2274060.12,4.2233
4948083.87,2311649.58,3.5895
4737486.25,2575506.63,4.6009
4734278.78,2589904.53,6.3023
4764574.27,2508974.15,5.2011
4802660.74,2085354.17,5.2485
4722658.29,2049105.18,4.2544
4780300.16,2021286.2,5.1653
4742641.31,2047935.45,5.0336
4753749.78,2052331.56,4.0427
4759438.52,2096534.24,5.4137
4651761.8,2087010.57,5.2942
4604471.11,1937780,4.7802
4607543.35,1932210.4,4.6285
4674799.73,2078027.39,5.8544
4634420,1981919.24,4.5322
4714366.5,2245996.63,4.6681
4775204.64,2237991.22,4.6215
4797225.04,2204745.16,4.9569
5250408.16,2339834.69,4.2991
4726167.23,2711627.12,5.6442
4983163.13,2217676.65,4.2927
4992011.5,2201100.21,4.5485
5013038.23,2195576.19,4.7605
4961008.04,2171277.18,4.2999
4941089.22,2182342.16,4.5326
4760650.72,1738270.37,3.2928
5069829.29,1491754.56,4.0391
4966894.55,2663035.39,4.3742
4872262.87,2078555.51,3.9173
4866713.14,2075249.34,3.9465
4730795.58,1856632.18,4.4541
4746413.59,1882034.62,4.5097
4634915.24,1766107.51,4.1368
5043422.19,2787940.5,5.3079
5008481.73,2831018.71,6.2376
5186832.24,2903454.31,5.6704
4874247.52,2746146.69,5.4887
4930972.54,2016601.39,4.5429
4479786.7,1652278.28,4.3019
4521113.58,1688794.32,3.6199
4975529.49,2450841.35,4.8858
5054847.72,2433186.34,4.6326
5058117.52,2460818.44,5.7418
5019597.64,2416581.65,5.3643
4697042.17,2088999.23,4.2436
4053065.37,2963950.94,4.9142
4931618.23,2232243.38,4.7898
4779866.74,2003503.23,5.0354
4753273.39,2047777.36,4.8961
4631358.27,1949014.29,4.5701
5232104.03,2063112.22,4.00718